Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) [],,Freq [GHz],Phi [deg],Theta [deg],dB(GainLHCP) [],dB(GainRHCP) []
19.6,0,27,-10.29231693,-32.2367352,,19.6,90,27,-8.745855563,-23.40776622
19.6,0,28,-9.161556798,-18.21356149,,19.6,90,28,-7.848576642,-18.12520047
19.6,0,29,-10.33507076,-14.66296376,,19.6,90,29,-9.481440836,-18.95850213
19.6,0,30,-14.08969239,-14.34855702,,19.6,90,30,-13.77091801,-16.48770854
19.6,0,31,-12.96043713,-16.07861574,,19.6,90,31,-12.16977026,-14.52604467
19.6,0,32,-13.83391824,-18.74534623,,19.6,90,32,-13.22773238,-20.25451532
19.6,0,33,-13.0906121,-13.21114638,,19.6,90,33,-13.33733486,-16.37919672
19.6,0,34,-11.65715548,-12.70612521,,19.6,90,34,-11.3360577,-14.1414067
19.6,0,35,-13.17108324,-18.70057459,,19.6,90,35,-13.31451976,-18.68739019
19.6,0,36,-8.937223372,-34.80860975,,19.6,90,36,-9.646306125,-30.19342749
19.6,0,37,-6.190339367,-26.09082502,,19.6,90,37,-6.310911981,-33.63718237
19.6,0,38,-6.320924689,-19.07148914,,19.6,90,38,-5.94161599,-20.91817581
19.6,0,39,-7.512019667,-16.27663043,,19.6,90,39,-6.774921145,-19.11918665
19.6,0,40,-7.456536658,-19.32804551,,19.6,90,40,-6.893429486,-27.86749995
19.6,0,41,-6.139562278,-30.61264604,,19.6,90,41,-6.25622172,-25.08678411
19.6,0,42,-5.816816983,-38.83296496,,19.6,90,42,-6.697554205,-24.19451337
19.6,0,43,-7.619941593,-20.84367042,,19.6,90,43,-9.487695477,-27.33955053
19.6,0,44,-11.4802008,-13.92502201,,19.6,90,44,-14.84967068,-14.96691013
19.6,0,45,-14.86705063,-12.1206719,,19.6,90,45,-18.71396354,-12.36351568
19.6,0,46,-13.17537943,-14.13936131,,19.6,90,46,-14.48411475,-14.04359184
19.6,0,47,-9.655290686,-20.15379554,,19.6,90,47,-9.528489622,-18.01719982
19.6,0,48,-7.940896235,-27.84851746,,19.6,90,48,-7.446591329,-18.98927061
19.6,0,49,-8.646815176,-28.01193657,,19.6,90,49,-8.330687702,-18.72622494
19.6,0,50,-11.69395004,-21.77249495,,19.6,90,50,-12.40932951,-16.24044664
19.6,0,51,-15.27355027,-18.43425218,,19.6,90,51,-18.10247769,-13.4349451
19.6,0,52,-14.35554783,-19.59943902,,19.6,90,52,-15.29501755,-13.07769679
19.6,0,53,-11.21007423,-26.15964407,,19.6,90,53,-11.37429579,-15.4239777
19.6,0,54,-8.530483767,-22.96422025,,19.6,90,54,-8.250096311,-19.92122851
19.6,0,55,-7.07553262,-18.69561844,,19.6,90,55,-6.356697195,-22.12606526
19.6,0,56,-7.021695708,-18.06387355,,19.6,90,56,-5.993020922,-21.00477388
19.6,0,57,-8.184721008,-17.837018,,19.6,90,57,-7.081182408,-19.25731111
19.6,0,58,-9.950820675,-16.29480065,,19.6,90,58,-9.182753546,-17.3905466
19.6,0,59,-11.14948285,-15.03709011,,19.6,90,59,-11.0159389,-16.59824219
19.6,0,60,-10.9818841,-14.38788776,,19.6,90,60,-11.07694892,-16.39704989
19.6,0,61,-9.751956422,-13.29043722,,19.6,90,61,-9.819663749,-14.87265355
19.6,0,62,-8.074779883,-11.68348688,,19.6,90,62,-8.213583632,-12.49274788
19.6,0,63,-6.481315992,-10.53184689,,19.6,90,63,-6.735109152,-10.87727631
19.6,0,64,-5.246990802,-10.32508609,,19.6,90,64,-5.61051947,-10.41822769
19.6,0,65,-4.407664744,-11.09635269,,19.6,90,65,-4.861879564,-10.99518597
19.6,0,66,-3.893733724,-12.64695411,,19.6,90,66,-4.382263235,-12.29280887
19.6,0,67,-3.627428953,-14.43825876,,19.6,90,67,-4.047607846,-13.71155304
19.6,0,68,-3.55900651,-15.45235728,,19.6,90,68,-3.797932294,-14.45694699
19.6,0,69,-3.659070803,-15.04956586,,19.6,90,69,-3.645062344,-14.25681866
19.6,0,70,-3.894142858,-13.81389238,,19.6,90,70,-3.624542977,-13.53345172
19.6,0,71,-4.208507266,-12.52184102,,19.6,90,71,-3.749103869,-12.74225017
19.6,0,72,-4.52378387,-11.58174544,,19.6,90,72,-3.989616898,-12.16241933
19.6,0,73,-4.759976826,-11.17428218,,19.6,90,73,-4.277654824,-11.95010475
19.6,0,74,-4.870115249,-11.3536784,,19.6,90,74,-4.525203553,-12.13980711
19.6,0,75,-4.861838672,-12.02847406,,19.6,90,75,-4.659824602,-12.59260357
19.6,0,76,-4.782964397,-12.79721883,,19.6,90,76,-4.656167372,-12.92798958
19.6,0,77,-4.683215107,-12.85167455,,19.6,90,77,-4.53503919,-12.66771851
19.6,0,78,-4.583278791,-11.78465915,,19.6,90,78,-4.332547557,-11.72627824
19.6,0,79,-4.468161553,-10.20948194,,19.6,90,79,-4.073944772,-10.4646125
19.6,0,80,-4.305383932,-8.755667383,,19.6,90,80,-3.774133594,-9.207499722
19.6,0,81,-4.078242318,-7.625822662,,19.6,90,81,-3.455960737,-8.071261273
19.6,0,82,-3.812023225,-6.802441334,,19.6,90,82,-3.163952534,-7.060018929
19.6,0,83,-3.572331015,-6.200919561,,19.6,90,83,-2.960716569,-6.15989607
19.6,0,84,-3.439871339,-5.733451412,,19.6,90,84,-2.911271862,-5.377904792
19.6,0,85,-3.483395442,-5.34142393,,19.6,90,85,-3.066763719,-4.740980836
19.6,0,86,-3.742005034,-5.008565956,,19.6,90,86,-3.451371419,-4.27821087
19.6,0,87,-4.21158105,-4.752017752,,19.6,90,87,-4.047873919,-4.00358928
19.6,0,88,-4.826783698,-4.599281309,,19.6,90,88,-4.777650883,-3.90575658
19.6,0,89,-5.44499274,-4.567131532,,19.6,90,89,-5.487802238,-3.945978129
19.6,0,90,-5.875146701,-4.652753586,,19.6,90,90,-5.993188823,-4.067942551
19.6,0,91,-5.997598325,-4.838884366,,19.6,90,91,-6.203287313,-4.223576207
19.6,0,92,-5.88096376,-5.109657805,,19.6,90,92,-6.213066285,-4.40664233
19.6,0,93,-5.732108654,-5.46795835,,19.6,90,93,-6.225272596,-4.668802664
19.6,0,94,-5.758493208,-5.939605004,,19.6,90,94,-6.418076407,-5.10136299
19.6,0,95,-6.104261613,-6.552675817,,19.6,90,95,-6.890309845,-5.793995151
19.6,0,96,-6.856258294,-7.289589112,,19.6,90,96,-7.659686309,-6.782156456
19.6,0,97,-8.056671098,-8.022437152,,19.6,90,97,-8.661083477,-7.966239954
19.6,0,98,-9.68108273,-8.497951494,,19.6,90,98,-9.743090531,-9.011266217
19.6,0,99,-11.54693115,-8.516365509,,19.6,90,99,-10.71980535,-9.470416071
19.6,0,100,-13.19654276,-8.195105767,,19.6,90,100,-11.51777773,-9.326761422
19.6,0,101,-14.1599877,-7.891206439,,19.6,90,101,-12.26991878,-9.07448355
19.6,0,102,-14.63573737,-7.931619797,,19.6,90,102,-13.18893964,-9.164858675
19.6,0,103,-15.26139122,-8.526731601,,19.6,90,103,-14.32538193,-9.768131936
19.6,0,104,-16.34329195,-9.800097445,,19.6,90,104,-15.32393328,-10.75015002
19.6,0,105,-17.37742718,-11.75338175,,19.6,90,105,-15.51839486,-11.58770244
19.6,0,106,-17.11012461,-13.94865966,,19.6,90,106,-14.89239676,-11.69214357
19.6,0,107,-15.70557829,-15.07021039,,19.6,90,107,-14.20756809,-11.29190087
19.6,0,108,-14.55994746,-14.65140076,,19.6,90,108,-14.0346734,-11.14955407
19.6,0,109,-14.37939283,-14.13420698,,19.6,90,109,-14.5713588,-11.79004397
19.6,0,110,-15.41652283,-14.48548956,,19.6,90,110,-15.83034356,-13.5056513
19.6,0,111,-17.8344779,-16.05793534,,19.6,90,111,-17.77030052,-16.5671945
19.6,0,112,-21.32092994,-19.26953942,,19.6,90,112,-20.49720276,-21.42231397
19.6,0,113,-22.95033707,-25.73002575,,19.6,90,113,-24.51843893,-29.65182264
19.6,0,114,-21.51794401,-35.42031882,,19.6,90,114,-27.36664584,-36.92786153
19.6,0,115,-20.11287253,-22.23367276,,19.6,90,115,-22.50636049,-24.36606045
