CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
3,NoH_baseline,GMSK,convolutional,2/3,1115,NaN,0,NaN,0,0,0,0,0.5,0,NaN,0,38,0.000669,0.025422,0,3.73153376543387,28.5622524847293,28.5622524847293,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,5.6521048,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,0,0,NaN,NaN,NaN,0,0
4,NoH_baseline,GMSK,convolutional,3/4,1115,NaN,0,NaN,0,0,0,0,0.5,0,NaN,0,38,0.000594666666666667,0.0225973333333333,0,3.70977840196461,28.6130406307624,28.6130406307624,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.7670395,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,0,0,NaN,NaN,NaN,0,0
5,NoH_baseline,GMSK,convolutional,5/6,1116,NaN,0,NaN,0,0,0,0,0.251764112903226,100,0.5625,32,38,0.00053568,0.02035584,0.01714176,3.74774979828978,28.5245882108034,28.5245882108034,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.4900848,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,32,0,18,18,56.25,14,0
6,NoH_baseline,GMSK,convolutional,7/8,1123,NaN,0,NaN,0,0,0,0,0.188914795894456,71.0526315789474,0.473684210526316,19,27,0.000513371428571429,0.0138610285714286,0.00975405714285714,3.72785142326388,28.5708281030912,28.5708281030912,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.1751327,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,19,0,9,9,47.3684210526316,10,0
7,NoH_baseline,GMSK,LDPC,1/2,1115,1024,0,NaN,0,0,0,0,0.02197265625,61.5384615384615,0.0454545454545455,22,24,0.000892,0.021408,0.019624,3.73990610204251,28.5427860301974,28.5427860301974,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.9988732,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,22,0,1,1,4.54545454545455,21,0
8,NoH_baseline,GMSK,LDPC,2/3,1115,1024,0,NaN,0,0,0,0,0.00809151785714286,58.974358974359,0.0476190476190476,21,23,0.000669,0.015387,0.014049,3.73575306241401,28.5524367771865,28.5524367771865,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,1.3027954,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,21,0,1,1,4.76190476190476,20,0
9,NoH_baseline,GMSK,LDPC,4/5,1115,1024,0,NaN,0,0,0,0,0.0109049479166667,51.2820512820513,0.0555555555555556,18,20,0.0005575,0.01115,0.010035,3.73907106268356,28.5447256162091,28.5447256162091,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,0.9887092,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,18,0,1,1,5.55555555555556,17,0
10,NoH_baseline,GMSK,LDPC,7/8,1115,7136,0,NaN,0,0,0,0,0.0318961758844046,58.974358974359,0.222222222222222,18,23,0.000509714285714286,0.0117234285714286,0.00917485714285714,3.73751054074566,28.5483514768621,28.5483514768621,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,11.3429635,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,18,0,4,4,22.2222222222222,14,0
11,NoH_baseline,GMSK,Turbo,1/2,1115,1784,0,NaN,0,0,0,0,0.0226350629938074,58.974358974359,0.0476190476190476,21,23,0.000892,0.020516,0.018732,3.7298596364696,28.5661502284574,28.5661502284574,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.1405197,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,21,0,1,1,4.76190476190476,20,0
12,NoH_baseline,GMSK,Turbo,1/3,1115,1784,0,NaN,0,0,0,0,0.00374675477932499,53.8461538461538,0.0526315789473684,19,21,0.001338,0.028098,0.025422,3.7423426542836,28.5371290077431,28.5371290077431,NaN,0,NaN,NaN,,NaN,NaN,0,afterChannel,snr,NaN,NaN,NaN,NaN,,official,1,OK,,4.6773638,noh-impairments,cfo_p2k_phase_30deg,2000,30,0,19,0,1,1,5.26315789473684,18,0
