CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,GMSKDetectorUsed,Success,Status,ErrorMessage,Runtime_s,TestStage,ImpairmentProfile,InputCFO_Hz,InputPhase_deg,InputDelay,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
35,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000669,0.025422,0.024084,3.89736109671282,28.1845870853539,28.1845870853539,NaN,15.0956798891421,1.92865493310657e-15,5.34509786088241,error,10,0.026856,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.2058886,all-h,baseline,0,0,0,36,0,0,0,0,36,0
36,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000594666666666667,0.0225973333333333,0.021408,4.2496712012575,27.4328934037159,27.4328934037159,NaN,14.9987145227978,1.92865493310657e-15,5.28244824745131,error,10,0.023872,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.9474209,all-h,baseline,0,0,0,36,0,0,0,0,36,0
37,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.00053568,0.02035584,0.01928448,3.69335940650557,28.6515685685223,28.6515685685223,NaN,15.2353635443599,1.92865493310657e-15,5.44588706466916,error,10,0.021504,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.7742622,all-h,baseline,0,0,0,36,0,0,0,0,36,0
38,H_EQ_rawGain_std2_likely_TDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,3.66240158578457,28.7246807324833,28.7246807324833,NaN,15.0147326475902,1.92865493310657e-15,5.31776710732109,error,10,0.020608,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.6825184,all-h,baseline,0,0,0,36,0,0,0,0,36,0
39,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.88728849879565,28.2070645319309,28.2070645319309,NaN,13.0128944238342,1.92865493310657e-15,4.27210033674443,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.0993565,all-h,baseline,0,0,0,37,0,0,0,0,37,0
40,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.83028613898025,28.335375622777,28.335375622777,NaN,13.8887760148943,1.92865493310657e-15,4.85831690142154,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.8177434,all-h,baseline,0,0,0,37,0,0,0,0,37,0
41,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,4/5,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.0005575,0.0217425,0.0206275,3.7392661680672,28.5442723967893,28.5442723967893,NaN,14.1922263550915,1.92865493310657e-15,5.04741216053543,error,10,0.002688,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.6831739,all-h,baseline,0,0,0,37,0,0,0,0,37,0
42,H_EQ_rawGain_std2_likely_TDL,GMSK,LDPC,7/8,1115,7136,0,NaN,1,1,0,1,0,100,0,37,39,0.000509714285714286,0.0198788571428571,0.0188594285714286,3.7017759257812,28.631797466076,28.631797466076,NaN,14.6036265104463,1.92865493310657e-15,5.16359321387845,error,10,0.016384,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.6140916,all-h,baseline,0,0,0,37,0,0,0,0,37,0
43,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/2,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.73081585040456,28.5639237360253,28.5639237360253,NaN,13.7834725281215,1.92865493310657e-15,4.71910366406669,error,10,0.00728,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.986683,all-h,baseline,0,0,0,37,0,0,0,0,37,0
44,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/3,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001338,0.052182,0.049506,4.06874885827463,27.8107823190884,27.8107823190884,NaN,13.5900989861902,1.92865493310657e-15,4.62230373816195,error,10,0.01092,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.308221,all-h,baseline,0,0,0,37,0,0,0,0,37,0
45,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/4,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.001784,0.069576,0.066008,3.72113200462187,28.5864984680885,28.5864984680885,NaN,14.4629532104659,1.92865493310657e-15,5.05988054978469,error,10,0.01456,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.6520902,all-h,baseline,0,0,0,37,0,0,0,0,37,0
46,H_EQ_rawGain_std2_likely_TDL,GMSK,Turbo,1/6,1115,1784,0,NaN,1,1,0,1,0,100,0,37,39,0.002676,0.104364,0.099012,3.77166403228911,28.4693399953712,28.4693399953712,NaN,15.2348645123698,1.92865493310657e-15,5.45042250931876,error,10,0.02184,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.236814,all-h,baseline,0,0,0,37,0,0,0,0,37,0
47,H_EQ_rawGain_std2_likely_TDL,GMSK,TPC,1/2_x8,1024,NaN,0,8,1,1,0,1,0,100,0,37,39,0.0008192,0.0319488,0.0303104,3.69155283174909,28.6558182356177,28.6558182356177,NaN,18.1243468504147,1.92865493310657e-15,7.20582386936216,error,10,0.0654288,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,80.5659964,all-h,baseline,0,0,0,37,0,0,0,0,37,0
48,H_EQ_rawGain_std2_likely_TDL,GMSK,TPC,2/3_x4,1352,NaN,0,4,1,1,0,1,0,100,0,37,39,0.0008112,0.0316368,0.0300144,3.6700206137281,28.7066299280196,28.7066299280196,NaN,15.5393202523076,1.92865493310657e-15,5.53931100126636,error,10,0.0328176,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,41.7813805,all-h,baseline,0,0,0,37,0,0,0,0,37,0
49,H_EQ_rawGain_std3_likely_CDL,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,37,39,0.000446,0.017394,0.016502,3.88396798621453,28.214487168832,28.214487168832,NaN,16.1007425880782,1.92865493310657e-15,5.85082815244608,error,10,0.017904,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.3281319,all-h,baseline,0,0,0,37,0,0,0,0,37,0
50,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000892,0.033896,0.032112,3.70971026784914,28.6132001580382,28.6132001580382,NaN,16.4378350376663,1.92865493310657e-15,5.88142990639879,error,10,0.035808,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,4.0015168,all-h,baseline,0,0,0,36,0,0,0,0,36,0
51,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000669,0.025422,0.024084,4.44488237591088,27.0427945439034,27.0427945439034,NaN,15.7181600047366,1.92865493310657e-15,5.59892212816039,error,10,0.026856,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,3.222342,all-h,baseline,0,0,0,36,0,0,0,0,36,0
52,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000594666666666667,0.0225973333333333,0.021408,3.9027809502416,28.1725164699989,28.1725164699989,NaN,15.8283751547981,1.92865493310657e-15,5.66713878823609,error,10,0.023872,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.999217,all-h,baseline,0,0,0,36,0,0,0,0,36,0
53,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.00053568,0.02035584,0.01928448,3.94876216310195,28.070780467143,28.070780467143,NaN,16.0175891807929,1.92865493310657e-15,5.77874163482803,error,10,0.021504,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.7624233,all-h,baseline,0,0,0,36,0,0,0,0,36,0
54,H_EQ_rawGain_std3_likely_CDL,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,36,38,0.000513371428571429,0.0195081142857143,0.0184813714285714,4.07354951097665,27.8005400158711,27.8005400158711,NaN,16.1480006204231,1.92865493310657e-15,5.8798354265235,error,10,0.020608,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,2.6797606,all-h,baseline,0,0,0,36,0,0,0,0,36,0
55,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,1/2,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000892,0.034788,0.033004,3.98133630993724,27.999422706138,27.999422706138,NaN,14.5327132497415,1.92865493310657e-15,5.09707136134224,error,10,0.004224,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,1.0940593,all-h,baseline,0,0,0,37,0,0,0,0,37,0
56,H_EQ_rawGain_std3_likely_CDL,GMSK,LDPC,2/3,1115,1024,0,NaN,1,1,0,1,0,100,0,37,39,0.000669,0.026091,0.024753,3.68243910684467,28.6772885191974,28.6772885191974,NaN,14.9241565321919,1.92865493310657e-15,5.37022891992344,error,10,0.0032,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,official,1,OK,,0.8220399,all-h,baseline,0,0,0,37,0,0,0,0,37,0
