Category,CaseName,Modulation,Coding,PCMFormat,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
PCM format,QPSK convolutional NRZ-M @ 24dB,QPSK,convolutional,NRZ-M,24,20000,10,0.1,7.47384155455904e-05,100,4.25733881155511,27.4172357202831,27.4172357202836,3.86523348745275,0.005,80,1,PASS,,75.0687458
PCM format,QPSK convolutional NRZ-S @ 16dB,QPSK,convolutional,NRZ-S,16,20000,10,0.1,7.67052159546849e-05,100,8.5781205028415,21.332157144332,21.3321571443322,3.86517545581884,0.005,80,1,PASS,,73.6137137
PCM format,QPSK convolutional NRZ-S @ 20dB,QPSK,convolutional,NRZ-S,20,20000,10,0.1,2.95020061364173e-05,100,5.7327759818509,24.8327005740539,24.8327005740542,3.86533092800078,0.005,80,1,PASS,,75.0408532
PCM format,QPSK convolutional NRZ-S @ 24dB,QPSK,convolutional,NRZ-S,24,20000,10,0.1,9.44064196365353e-05,100,4.24699061670833,27.43837397075,27.4383739707505,3.86508333050222,0.005,80,1,PASS,,73.5941807
PCM format,8PSK none NRZ-L @ 16dB,8PSK,none,NRZ-L,16,20000,10,0.1,0,100,8.4608143490323,21.4517566865707,21.4517566865709,3.82011506691085,0.005,80,1,PASS,,10.4374528
PCM format,8PSK none NRZ-L @ 20dB,8PSK,none,NRZ-L,20,20000,10,0.1,0,100,5.8295167927952,24.6873488462253,24.6873488462255,3.76966553256291,0.005,80,1,PASS,,5.4211009
PCM format,8PSK none NRZ-L @ 24dB,8PSK,none,NRZ-L,24,20000,10,0.1,0,100,4.19791272527761,27.539331893082,27.5393318930825,3.82032480097814,0.005,80,1,PASS,,5.4518317
PCM format,8PSK none NRZ-M @ 16dB,8PSK,none,NRZ-M,16,20000,10,0.1,0,100,8.48497865839557,21.4269849138386,21.4269849138387,3.87675473445983,0.005,80,1,PASS,,10.4433512
PCM format,8PSK none NRZ-M @ 20dB,8PSK,none,NRZ-M,20,20000,10,0.1,0,100,5.74849446005605,24.8089176568309,24.8089176568312,3.83089800997475,0.005,80,1,PASS,,5.4384538
PCM format,8PSK none NRZ-M @ 24dB,8PSK,none,NRZ-M,24,20000,10,0.1,0,100,4.25018861561891,27.4318359264998,27.4318359265003,3.80124536315894,0.005,80,1,PASS,,5.4106938
PCM format,8PSK none NRZ-S @ 16dB,8PSK,none,NRZ-S,16,20000,10,0.1,0,100,8.43939413864294,21.473774602294,21.4737746022942,3.86550705861078,0.005,80,1,PASS,,5.438859
PCM format,8PSK none NRZ-S @ 20dB,8PSK,none,NRZ-S,20,20000,10,0.1,0,100,5.90570834092521,24.5745600978232,24.5745600978234,3.86214666380905,0.005,80,1,PASS,,10.4207161
PCM format,8PSK none NRZ-S @ 24dB,8PSK,none,NRZ-S,24,20000,10,0.1,0,100,4.23640130222555,27.4600581427391,27.4600581427396,3.89213593197241,0.005,80,1,PASS,,10.4119231
PCM format,8PSK convolutional NRZ-L @ 16dB,8PSK,convolutional,NRZ-L,16,20000,10,0.1,0,100,8.43415298035342,21.4791705185909,21.479170518591,3.85789595404519,0.005,80,1,PASS,,37.0547798
PCM format,8PSK convolutional NRZ-L @ 20dB,8PSK,convolutional,NRZ-L,20,20000,10,0.1,0,100,5.69482777348433,24.8903881117901,24.8903881117903,3.82453652009837,0.005,80,1,PASS,,37.8541283
PCM format,8PSK convolutional NRZ-L @ 24dB,8PSK,convolutional,NRZ-L,24,20000,10,0.1,0,100,4.25514370951238,27.4217153569726,27.4217153569731,3.84368430154435,0.005,80,1,PASS,,36.9643447
PCM format,8PSK convolutional NRZ-M @ 16dB,8PSK,convolutional,NRZ-M,16,20000,10,0.1,0,100,8.39011352039826,21.5246432603054,21.5246432603056,3.83847965841778,0.005,80,1,PASS,,37.7760441
PCM format,8PSK convolutional NRZ-M @ 20dB,8PSK,convolutional,NRZ-M,20,20000,10,0.1,0,100,5.72285674639048,24.8477425028726,24.8477425028729,3.82514635817323,0.005,80,1,PASS,,36.8749368
PCM format,8PSK convolutional NRZ-M @ 24dB,8PSK,convolutional,NRZ-M,24,20000,10,0.1,0,100,4.22094076467303,27.4918148510414,27.4918148510419,3.82350118917749,0.005,80,1,PASS,,37.6241446
PCM format,8PSK convolutional NRZ-S @ 16dB,8PSK,convolutional,NRZ-S,16,20000,10,0.1,0,100,8.4165632125633,21.4973042092338,21.4973042092339,3.82334780451169,0.005,80,1,PASS,,36.781553
PCM format,8PSK convolutional NRZ-S @ 20dB,8PSK,convolutional,NRZ-S,20,20000,10,0.1,0,100,5.78073888615711,24.7603329420674,24.7603329420676,3.83963361093491,0.005,80,1,PASS,,37.763085
PCM format,8PSK convolutional NRZ-S @ 24dB,8PSK,convolutional,NRZ-S,24,20000,10,0.1,0,100,4.24329540729514,27.4459346543567,27.4459346543572,3.83083302188364,0.005,80,1,PASS,,36.8920863
Coding,8PSK uncoded @ 12dB,8PSK,none,NRZ-L,12,20000,10,0.1,5.90040122728346e-06,100,12.8175998804388,17.8438657931724,17.8438657931725,3.81983082063629,0.0001,90,1,PASS,,40.1498057
Coding,8PSK uncoded @ 16dB,8PSK,none,NRZ-L,16,20000,10,0.1,0,100,8.39449411821779,21.5201094170495,21.5201094170496,3.87293474922731,0.0001,90,1,PASS,,10.4282851
Coding,8PSK uncoded @ 20dB,8PSK,none,NRZ-L,20,20000,10,0.1,0,100,5.72803724202998,24.8398833406953,24.8398833406955,3.86034183925162,0.0001,90,1,PASS,,10.350424
Coding,8PSK conv1/2 @ 6dB,8PSK,convolutional,NRZ-L,6,20000,10,0.1,0,100,24.2778591435141,12.2957922523895,12.2957922523895,3.81413244095688,1e-05,90,1,PASS,,18.8259558
Coding,8PSK conv1/2 @ 10dB,8PSK,convolutional,NRZ-L,10,20000,10,0.1,0,100,15.9901600385703,15.9229437913415,15.9229437913415,3.8422145948597,1e-05,90,1,PASS,,19.1697114
Coding,8PSK conv1/2 @ 14dB,8PSK,convolutional,NRZ-L,14,20000,10,0.1,0,100,10.2493026056482,19.7861136869405,19.7861136869406,3.85778143303886,1e-05,90,1,PASS,,36.7637108
Coding,8PSK RS @ 10dB,8PSK,RS,NRZ-L,10,20000,10,0.1,0,100,16.0180582993751,15.9078026002106,15.9078026002107,3.80199462711588,0.0001,80,1,PASS,,0.5935637
Coding,8PSK RS @ 14dB,8PSK,RS,NRZ-L,14,20000,10,0.1,0,100,10.4400356288457,19.6259603841756,19.6259603841757,3.74586546528537,0.0001,80,1,PASS,,0.5860177
Coding,8PSK RS @ 18dB,8PSK,RS,NRZ-L,18,20000,10,0.1,0,100,6.87393448042167,23.2558922339871,23.2558922339873,3.72030618386703,0.0001,80,1,PASS,,0.577423
Coding,8PSK LDPC1/2 @ 4dB,8PSK,LDPC,NRZ-L,4,20000,10,0.1,0.5,0,36.2349683968481,8.81744226250697,8.81744226250697,3.77201881241393,0.0001,80,1,FAIL,,4.8907275
Coding,8PSK LDPC1/2 @ 8dB,8PSK,LDPC,NRZ-L,8,20000,10,0.1,0.0029296875,91.6666666666667,19.8849044494469,14.0295298307263,14.0295298307264,3.84445111172432,0.0001,80,1,WARN,,6.0446889
