ModType,NoisePSD,Seed,EqSNR_dB,LockPct,BER,FER,SyncOK,DecodeOK,ZeroErrorOK
16QAM,-150,364241807,3.7861131264476,88.7640449438202,0.0541434151785714,0.142857142857143,0,0,0
32QAM,-164,364232726,18.2443402806699,98.876404494382,2.41126543209877e-05,0.0123456790123457,1,0,0
32QAM,-164,364233735,18.2626147029254,100,0,0,1,1,1
32QAM,-164,364234744,18.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-164,364235753,18.2529370301739,98.876404494382,0,0,1,1,1
32QAM,-164,364236762,18.2497019820106,98.876404494382,0,0,1,1,1
32QAM,-164,364237771,18.2658420087252,100,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-164,364238780,18.2638061835034,100,0,0,1,1,1
32QAM,-164,364239789,18.253390822982,98.876404494382,0,0,1,1,1
32QAM,-164,364240798,18.2515776778802,98.876404494382,2.41126543209877e-05,0.0123456790123457,1,0,0
32QAM,-164,364241807,18.2497432855953,100,0.00564500762195122,0.0121951219512195,1,0,0
32QAM,-163,364232726,17.2443402806699,98.876404494382,0,0,1,1,1
32QAM,-163,364233735,17.2626147029254,100,0,0,1,1,1
32QAM,-163,364234744,17.2524932950489,100,0,0,1,1,1
32QAM,-163,364235753,17.2529370301739,98.876404494382,0,0,1,1,1
32QAM,-163,364236762,17.2497019820106,98.876404494382,0,0,1,1,1
32QAM,-163,364237771,17.2658420087252,100,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-163,364238780,17.2638061835034,98.876404494382,0,0,1,1,1
32QAM,-163,364239789,17.253390822982,98.876404494382,0,0,1,1,1
32QAM,-163,364240798,17.2515776778802,98.876404494382,4.82253086419753e-05,0.0123456790123457,1,0,0
32QAM,-163,364241807,17.2497432855953,98.876404494382,0.00612137957317073,0.0121951219512195,1,0,0
32QAM,-162,364232726,16.2443402806699,98.876404494382,0,0,1,1,1
32QAM,-162,364233735,16.2626147029254,98.876404494382,0,0,1,1,1
32QAM,-162,364234744,16.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-162,364235753,16.2529370301739,98.876404494382,0,0,1,1,1
32QAM,-162,364236762,16.2497019820106,98.876404494382,0,0,1,1,1
32QAM,-162,364237771,16.2658420087252,100,0,0,1,1,1
32QAM,-162,364238780,16.2638061835034,98.876404494382,0,0,1,1,1
32QAM,-162,364239789,16.253390822982,98.876404494382,0,0,1,1,1
32QAM,-162,364240798,16.2515776778802,98.876404494382,0.00607638888888889,0.0123456790123457,1,0,0
32QAM,-162,364241807,16.2497432855953,100,0.00608565167682927,0.0121951219512195,1,0,0
32QAM,-161,364232726,15.2443402806699,98.876404494382,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-161,364233735,15.2626147029254,98.876404494382,0,0,1,1,1
32QAM,-161,364234744,15.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-161,364235753,15.2529370301739,98.876404494382,0,0,1,1,1
32QAM,-161,364236762,15.2497019820106,100,0,0,1,1,1
32QAM,-161,364237771,15.2658420087252,98.876404494382,0,0,1,1,1
32QAM,-161,364238780,15.2638061835034,98.876404494382,0,0,1,1,1
32QAM,-161,364239789,15.253390822982,98.876404494382,0,0,1,1,1
32QAM,-161,364240798,15.2515776778802,98.876404494382,0.00610050154320988,0.0123456790123457,1,0,0
32QAM,-161,364241807,15.2497432855953,100,6.02816358024691e-05,0.0123456790123457,1,0,0
32QAM,-160,364232726,14.2443402806699,98.876404494382,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-160,364233735,14.2626147029254,100,0,0,1,1,1
32QAM,-160,364234744,14.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-160,364235753,14.2529370301739,98.876404494382,0.00596788194444444,0.0123456790123457,1,0,0
32QAM,-160,364236762,14.2497019820106,98.876404494382,0,0,1,1,1
32QAM,-160,364237771,14.2658420087252,100,0,0,1,1,1
32QAM,-160,364238780,14.2638061835034,98.876404494382,0.0060643325617284,0.0123456790123457,1,0,0
32QAM,-160,364239789,14.253390822982,98.876404494382,0,0,1,1,1
32QAM,-160,364240798,14.2515776778802,97.752808988764,0.00618896484375,0.0125,0,0,0
32QAM,-160,364241807,14.2497432855953,98.876404494382,2.41126543209877e-05,0.0123456790123457,1,0,0
32QAM,-159,364232726,13.2443402806699,98.876404494382,0,0,1,1,1
32QAM,-159,364233735,13.2626147029254,100,0,0,1,1,1
32QAM,-159,364234744,13.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-159,364235753,13.2529370301739,98.876404494382,0.00610050154320988,0.0123456790123457,1,0,0
32QAM,-159,364236762,13.2497019820106,100,0.00622856326219512,0.0121951219512195,1,0,0
32QAM,-159,364237771,13.2658420087252,98.876404494382,0,0,1,1,1
32QAM,-159,364238780,13.2638061835034,98.876404494382,0.0114896797839506,0.0246913580246914,1,0,0
32QAM,-159,364239789,13.253390822982,98.876404494382,0,0,1,1,1
32QAM,-159,364240798,13.2515776778802,97.752808988764,0.00595703125,0.0125,0,0,0
32QAM,-159,364241807,13.2497432855953,98.876404494382,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-158,364232726,12.2443402806699,98.876404494382,0.00622106481481481,0.0123456790123457,1,0,0
32QAM,-158,364233735,12.2626147029254,100,0,0,1,1,1
32QAM,-158,364234744,12.2524932950489,98.876404494382,0,0,1,1,1
32QAM,-158,364235753,12.2529370301739,97.752808988764,0,0,0,0,0
32QAM,-158,364236762,12.2497019820106,100,1.20563271604938e-05,0.0123456790123457,1,0,0
32QAM,-158,364237771,12.2658420087252,96.6292134831461,0,0,0,0,0
32QAM,-158,364238780,12.2638061835034,98.876404494382,0.0014092167721519,0.0126582278481013,1,0,0
32QAM,-158,364239789,12.253390822982,98.876404494382,0,0,1,1,1
32QAM,-158,364240798,12.2515776778802,97.752808988764,0.0107421875,0.025,0,0,0
32QAM,-158,364241807,12.2497432855953,98.876404494382,0,0,1,1,1
32QAM,-157,364232726,11.2443402806699,97.752808988764,0.00619695216049383,0.0246913580246914,0,0,0
32QAM,-157,364233735,11.2626147029254,98.876404494382,0,0,1,1,1
32QAM,-157,364234744,11.2524932950489,97.752808988764,0.00256799768518519,0.0123456790123457,0,0,0
32QAM,-157,364235753,11.2529370301739,97.752808988764,0,0,0,0,0
32QAM,-157,364236762,11.2497019820106,96.6292134831461,0.0181884765625,0.0375,0,0,0
32QAM,-157,364237771,11.2658420087252,97.752808988764,0.00173177083333333,0.0133333333333333,0,0,0
32QAM,-157,364238780,11.2638061835034,98.876404494382,0.017602237654321,0.037037037037037,1,0,0
32QAM,-157,364239789,11.253390822982,96.6292134831461,0,0,0,0,0
32QAM,-157,364240798,11.2515776778802,95.5056179775281,0.0181396484375,0.0375,0,0,0
32QAM,-157,364241807,11.2497432855953,98.876404494382,0.00194060496794872,0.0128205128205128,1,0,0
32QAM,-156,364232726,10.2443402806699,97.752808988764,0.0239076967592593,0.0493827160493827,0,0,0
32QAM,-156,364233735,10.2626147029254,96.6292134831461,1.26826298701299e-05,0.012987012987013,0,0,0
32QAM,-156,364234744,10.2524932950489,92.1348314606742,0.0159153293918919,0.0540540540540541,0,0,0
32QAM,-156,364235753,10.2529370301739,95.5056179775281,0.00658176369863014,0.0136986301369863,0,0,0
32QAM,-156,364236762,10.2497019820106,96.6292134831461,0.0228688686708861,0.0759493670886076,0,0,0
32QAM,-156,364237771,10.2658420087252,97.752808988764,0.0176625192901235,0.037037037037037,0,0,0
32QAM,-156,364238780,10.2638061835034,94.3820224719101,0.023336038961039,0.0649350649350649,0,0,0
32QAM,-156,364239789,10.253390822982,94.3820224719101,0.00954026442307692,0.0384615384615385,0,0,0
32QAM,-156,364240798,10.2515776778802,94.3820224719101,0.0179912860576923,0.0769230769230769,0,0,0
32QAM,-156,364241807,10.2497432855953,96.6292134831461,0.00592041015625,0.0125,0,0,0
32QAM,-155,364232726,9.24434028066986,91.0112359550562,0.0397046232876712,0.10958904109589,0,0,0
32QAM,-155,364233735,9.26261470292539,95.5056179775281,0.0409628378378378,0.135135135135135,0,0,0
32QAM,-155,364234744,9.25249329504885,91.0112359550562,0.04736328125,0.121621621621622,0,0,0
32QAM,-155,364235753,9.25293703017394,94.3820224719101,0.0153130425347222,0.0555555555555556,0,0,0
32QAM,-155,364236762,9.24970198201063,88.7640449438202,0.0293100717905405,0.0810810810810811,0,0,0
32QAM,-155,364237771,9.2658420087252,97.752808988764,0.0200135030864198,0.0740740740740741,0,0,0
32QAM,-155,364238780,9.26380618350345,92.1348314606742,0.0473569399350649,0.116883116883117,0,0,0
32QAM,-155,364239789,9.25339082298197,91.0112359550562,0.0363175675675676,0.121621621621622,0,0,0
32QAM,-155,364240798,9.25157767788021,91.0112359550562,0.0448014768835616,0.123287671232877,0,0,0
