Scenario,ModType,RSName,RSMessageLength,RSInterleavingDepth,InputBytes,CodedBytes,Runs,BER_mean,BER_median,BER_worst,Lock_mean_pct,Lock_worst_pct,FER_mean,MER_mean_dB,PassRate_pct,ZeroBERRate_pct,ErrorRuns
std5_Jakes,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,35.8918556306569,100,100,0
std5_Jakes,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,35.8718769133504,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,26.7695927046408,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,24.0681953044061,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,34.195437687719,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,21.6543816792175,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,34.9453135713699,100,100,0
std6_CLoo,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,26.6761442068246,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,26.2199264654789,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,24.1440334089764,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,34.1115010912192,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,21.6750017249652,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,34.9985519754108,100,100,0
std6_CLoo,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,27.01117584922,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.1440855787621,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,32.6999076943179,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,24.4660146957044,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,26.2408696640363,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.0833636621116,100,100,0
std6_CLoo,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.5027145917703,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.0927172957364,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,32.7092772569903,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,24.1386039550648,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,26.7156934409942,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,35.0978914257027,100,100,0
std6_CLoo,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,35.5115794678061,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,26.7695923086367,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,24.0681949907593,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,34.1954376488324,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,21.6543813946565,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,34.9453135287832,100,100,0
std7_Corazza,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,26.6761439119166,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,100,100,0,26.2199260678501,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,24.1440330825831,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,34.1115010488434,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,100,100,0,21.6750014423724,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,100,100,0,34.9985519316832,100,100,0
std7_Corazza,QPSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,27.0111755722801,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.1440855726628,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,32.6999076804229,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,24.4660143407587,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,26.2408693556174,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.0833636347362,100,100,0
std7_Corazza,8PSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,35.5027145440445,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D1",239,1,239,255,1,0,0,0,97.0588235294118,97.0588235294118,0,34.0927172890353,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D2",239,2,478,510,1,0,0,0,100,100,0,32.7092772442106,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D3",239,3,717,765,1,0,0,0,100,100,0,24.1386036370746,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D4",239,4,956,1020,1,0,0,0,97.0588235294118,97.0588235294118,0,26.7156931333544,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D5",239,5,1195,1275,1,0,0,0,97.0588235294118,97.0588235294118,0,35.0978913979646,100,100,0
std7_Corazza,8PSK,"RS(255,239)_D8",239,8,1912,2040,1,0,0,0,100,100,0,35.5115794178248,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D1",223,1,223,255,1,0,0,0,100,100,0,36.1561132651298,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D2",223,2,446,510,1,0,0,0,100,100,0,36.402403386747,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D3",223,3,669,765,1,0,0,0,100,100,0,36.70755041787,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D4",223,4,892,1020,1,0,0,0,100,100,0,35.4327559024459,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D5",223,5,1115,1275,1,0,0,0,100,100,0,35.3996935493813,100,100,0
std8_Lutz,QPSK,"RS(255,223)_D8",223,8,1784,2040,1,0,0,0,100,100,0,36.5660972002719,100,100,0
