CaseIndex,Scenario,ModType,ChannelCoding,Rate,NumBytesInTransferFrame,NumBitsInInformationBlock,IsLDPCOnSMTF,TPCBlocksPerTF,HEnabled,EqualizerEnabled,NormalizeHChannel,NormalizeEqualizerOutput,BER,LockRate_pct,FER,CountedFrames,MatchedFrames,FrameDuration_s,MatchedDuration_s,CountedDuration_s,EVM_post_pct,MER_dB,SNR_est_dB,ResidualCFO_Hz,HGain_dB,HNormalizationGain_dB,HMeanCoeffMagnitude,HOutOfRangeMode,HSourceDuration_s,WaveformDuration_s,ExceedsHDuration,NoisePlacement,NoiseMode,NoisePSD_dBmHz,NoiseBandwidthHz,NoisePower_dBm,NoiseEquivalentSNR_dB,EqualizerMode,Success,Status,ErrorMessage,Runtime_s,DetectionMode,ExpectedCountedFrames,UnlockedFrames,BadMatchedFrames,EffectiveFailedFrames,EffectiveFER_pct,GoodFrames,ExceedsTrustedOneSecond
34,H_EQ_rawGain_std5_likely_Jakes,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.71086882216361,28.6104879505743,28.6104879505743,NaN,-65.3365423843107,1.92865493310657e-15,0.000531612743931186,error,2,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.1290252,official-viterbi-frame-reset,116,0,0,0,0,116,0
35,H_EQ_rawGain_std5_likely_Jakes,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.81648508169342,28.3667286179646,28.3667286179646,NaN,-65.4032662234762,1.92865493310657e-15,0.000527119588649462,error,2,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.5788957,official-viterbi-frame-reset,116,0,0,0,0,116,0
36,H_EQ_rawGain_std5_likely_Jakes,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.84639302479486,28.2989268315977,28.2989268315977,NaN,-65.3702435024141,1.92865493310657e-15,0.00052941128580507,error,2,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.3173922,official-viterbi-frame-reset,116,0,0,0,0,116,0
37,H_EQ_rawGain_std6_likely_CLoo,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.75210221909067,28.5145067716253,28.5145067716253,NaN,-69.2661787051572,1.92865493310657e-15,0.000298278041704903,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.268187,official-viterbi-frame-reset,117,0,0,0,0,117,0
38,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,1/2,1115,NaN,0,NaN,1,1,0,1,2.89933508582032e-05,100,0.00862068965517241,116,118,0.000892,0.105256,0.103472,3.72166408725708,28.5852565662552,28.5852565662552,NaN,-68.5771167000456,1.92865493310657e-15,0.000327812082411771,error,2,0.107424,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,15.1148161,official-viterbi-frame-reset,116,0,1,1,0.862068965517241,115,0
39,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,2/3,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000669,0.078942,0.077604,3.75799416589918,28.5008779691151,28.5008779691151,NaN,-68.5882533242107,1.92865493310657e-15,0.000324579860559835,error,2,0.080568,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.8906549,official-viterbi-frame-reset,116,0,0,0,0,116,0
40,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,3/4,1115,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000594666666666667,0.0701706666666667,0.0689813333333333,3.67832727643388,28.6869926470052,28.6869926470052,NaN,-68.8418093842288,1.92865493310657e-15,0.000315769271052561,error,2,0.071616,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,7.2258028,official-viterbi-frame-reset,116,0,0,0,0,116,0
41,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,5/6,1116,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.00053568,0.06321024,0.06213888,3.73189619710447,28.561408893643,28.561408893643,NaN,-68.7905952728242,1.92865493310657e-15,0.000315681785445905,error,2,0.064512,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.6313669,official-viterbi-frame-reset,116,0,0,0,0,116,0
42,H_EQ_rawGain_std6_likely_CLoo,GMSK,convolutional,7/8,1123,NaN,0,NaN,1,1,0,1,0,100,0,116,118,0.000513371428571429,0.0605778285714286,0.0595510857142857,3.70368763580394,28.6273129655425,28.6273129655425,NaN,-68.7926161783744,1.92865493310657e-15,0.000313864661115073,error,2,0.061824,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,6.4277536,official-viterbi-frame-reset,116,0,0,0,0,116,0
43,H_EQ_rawGain_std7_likely_Corazza,GMSK,none,none,1115,NaN,0,NaN,1,1,0,1,0,100,0,117,119,0.000446,0.053074,0.052182,3.72948034671525,28.5670335422512,28.5670335422512,NaN,-72.2661799622275,1.92865493310657e-15,0.000211164682199342,error,2,0.053712,0,afterChannel,snr,NaN,NaN,NaN,NaN,mmse,1,OK,,5.2548611,official-viterbi-frame-reset,117,0,0,0,0,117,0
